UID	Time Start	Time End	Estimated Regime
121	11:49:43.722	11:49:44.021	0.1913
122	11:51:02.865	11:51:03.636	0.1913
123	11:52:46.327	11:52:46.381	0.1694
124	11:53:01.948	11:53:02.002	0.1694
125	11:53:04.505	11:53:04.573	0.1694
126	11:53:10.860	11:53:10.895	0.1694
127	11:53:13.713	11:53:13.749	0.1694
128	11:53:17.124	11:53:17.162	0.1694
129	11:53:21.609	11:53:21.678	0.1694
130	11:53:30.185	11:53:30.333	0.1694
131	11:53:43.096	11:53:43.280	0.1694
132	11:53:54.413	11:53:54.544	0.1694
133	11:54:07.229	11:54:07.342	0.1694
134	11:54:17.340	11:54:17.467	0.1694
135	11:54:28.868	11:54:28.980	0.1694
136	11:54:38.842	11:54:38.957	0.1694
137	11:54:59.632	11:54:59.749	0.1694
138	11:55:09.107	11:55:09.250	0.1694
139	11:55:18.369	11:55:18.632	0.1694
140	11:55:27.184	11:55:27.278	0.1694
141	11:55:33.913	11:55:34.022	0.1694
142	11:55:40.788	11:55:40.903	0.1694
143	11:55:45.849	11:55:45.916	0.1694
144	11:55:50.815	11:55:50.937	0.1694
145	11:55:57.141	11:55:57.230	0.1694
146	11:56:03.328	11:56:03.425	0.1694
147	11:56:08.570	11:56:08.686	0.1694
148	11:56:16.435	11:56:16.527	0.1694
149	11:56:22.658	11:56:22.751	0.1694
150	11:56:29.003	11:56:29.101	0.1694
151	11:56:33.321	11:56:33.405	0.1694
152	11:56:38.417	11:56:38.504	0.1694
153	11:56:43.569	11:56:43.666	0.1694
154	11:56:48.363	11:56:48.468	0.1694
155	11:56:56.023	11:56:56.110	0.1694
156	11:57:06.791	11:57:06.888	0.1694
157	11:57:12.688	11:57:12.785	0.1694
158	11:57:21.878	11:57:22.002	0.1694
159	11:57:28.126	11:57:28.191	0.1694
160	11:57:33.406	11:57:33.470	0.1694
161	11:57:39.527	11:57:39.620	0.1694
162	11:57:46.052	11:57:46.136	0.1694
163	11:57:53.077	11:57:53.165	0.1694
164	11:57:59.510	11:57:59.598	0.1694
165	11:58:06.922	11:58:07.018	0.1694
166	11:58:13.365	11:58:13.454	0.1694
167	11:58:12.469	12:02:11.168	0.1694
168	12:02:27.710	12:11:58.647	0.1694
169	12:12:04.136	12:12:04.176	0.1694
170	12:12:07.422	12:12:07.465	0.1694
171	12:12:11.094	12:12:11.142	0.1694
172	12:12:15.548	12:12:15.644	0.1694
173	12:12:21.642	12:12:21.704	0.1694
174	12:12:26.275	12:12:26.329	0.1694
175	12:12:30.684	12:12:30.737	0.1694
176	12:12:35.323	12:12:35.348	0.1694
177	12:12:37.812	12:12:37.834	0.1694
178	12:12:40.176	12:12:40.199	0.1694
179	12:12:42.724	12:12:42.758	0.1694
180	12:12:49.227	12:12:49.268	0.1694
181	12:12:56.756	12:12:56.802	0.1694
182	12:13:02.955	12:13:02.997	0.1694
183	12:13:06.378	12:13:06.425	0.1694
184	12:13:10.114	12:13:10.158	0.1694
185	12:13:13.634	12:13:13.680	0.1694
186	12:13:17.218	12:13:17.263	0.1694
187	12:13:20.764	12:13:20.814	0.1694
188	12:13:24.804	12:13:24.854	0.1694
189	12:13:26.935	12:13:26.985	0.1694
190	12:13:30.737	12:13:30.787	0.1694
191	12:13:34.482	12:13:34.533	0.1694
192	12:13:37.209	12:13:37.258	0.1694
193	12:13:39.550	12:13:39.600	0.1694
194	12:13:43.150	12:13:43.199	0.1694
195	12:13:44.947	12:13:44.995	0.1694
196	12:13:46.983	12:13:47.035	0.1694
197	12:13:52.434	12:13:52.480	0.1694
198	12:13:54.844	12:13:54.899	0.1694
199	12:13:56.585	12:13:56.638	0.1694
200	12:13:58.577	12:13:58.625	0.1694
201	12:14:01.097	12:14:01.150	0.1694
202	12:14:02.962	12:14:03.012	0.1694
203	12:14:05.153	12:14:05.207	0.1694
204	12:14:07.928	12:14:07.981	0.1694
205	12:14:11.827	12:14:11.873	0.1694
206	12:14:15.582	12:14:15.636	0.1694
207	12:14:19.522	12:14:19.576	0.1694
208	12:14:21.875	12:14:21.928	0.1694
209	12:14:25.901	12:14:25.958	0.1694
210	12:14:28.596	12:14:28.648	0.1694
211	12:14:32.764	12:14:32.819	0.1694
212	12:14:37.020	12:14:37.077	0.1694
213	12:14:41.243	12:14:41.298	0.1694
214	12:14:45.417	12:14:45.472	0.1694
215	12:14:49.424	12:14:49.478	0.1694
216	12:14:53.684	12:14:53.741	0.1694
217	12:14:57.672	12:14:57.728	0.1694
218	12:15:01.874	12:15:01.930	0.1694
219	12:15:05.928	12:15:05.985	0.1694
220	12:15:10.148	12:15:10.203	0.1694
221	12:15:14.276	12:15:14.332	0.1694
222	12:15:18.375	12:15:18.434	0.1694
223	12:15:23.879	12:15:23.943	0.1694
224	12:15:28.330	12:15:28.388	0.1694
