UID	Date	Time Start	Time End	Estimated Regime
56	14/12/17 	11:38:18.092	11:38:18.140	0.1913
57	14/12/17 	11:38:21.842	11:38:21.957	0.1913
58	14/12/17 	11:38:28.882	11:38:28.982	0.1913
59	14/12/17 	11:38:41.688	11:38:41.785	0.1913
60	14/12/17 	11:38:54.503	11:38:54.646	0.1913
61	14/12/17 	11:39:09.273	11:39:09.360	0.1913
62	14/12/17 	11:39:23.056	11:39:23.162	0.1913
63	14/12/17 	11:39:38.357	11:39:38.447	0.1913
64	14/12/17 	11:39:52.203	11:39:52.289	0.1913
65	14/12/17 	11:40:04.048	11:40:04.101	0.1913
66	14/12/17 	11:40:12.617	11:40:12.675	0.1913
67	14/12/17 	11:40:18.115	11:40:18.178	0.1913
68	14/12/17 	11:40:18.366	11:46:12.215	0.1913
69	14/12/17 	11:46:12.450	11:46:12.582	0.1913
70	14/12/17 	11:46:35.587	11:46:35.774	0.1913
71	14/12/17 	11:46:40.306	11:46:40.447	0.1913
72	14/12/17 	11:46:40.999	11:46:41.114	0.1913
73	14/12/17 	11:46:45.958	11:46:46.079	0.1913
74	14/12/17 	11:46:45.119	11:46:45.199	0.1913
75	14/12/17 	11:46:45.733	11:46:45.821	0.1913
76	14/12/17 	11:46:45.958	11:46:46.079	0.1913
77	14/12/17 	11:46:46.196	11:46:46.340	0.1913
78	14/12/17 	11:46:46.488	11:46:46.596	0.1913
79	14/12/17 	11:46:46.737	11:46:46.894	0.1913
80	14/12/17 	11:46:47.016	11:46:47.216	0.1913
81	14/12/17 	11:46:47.381	11:46:47.561	0.1913
82	14/12/17 	11:46:47.706	11:46:47.856	0.1913
83	14/12/17 	11:46:47.987	11:46:48.119	0.1913
84	14/12/17 	11:46:48.259	11:46:48.394	0.1913
85	14/12/17 	11:46:46.197	11:46:46.357	0.1913
86	14/12/17 	11:46:46.596	11:46:46.737	0.1913
87	14/12/17 	11:46:45.810	11:46:46.069	0.1913
88	14/12/17 	11:47:07.101	11:47:07.285	0.1913
89	14/12/17 	11:47:07.465	11:47:07.633	0.1913
90	14/12/17 	11:47:07.791	11:47:08.002	0.1913
91	14/12/17 	11:47:13.989	11:47:14.284	0.1913
92	14/12/17 	11:47:18.128	11:47:19.398	0.1913
93	14/12/17 	11:47:42.537	11:47:43.767	0.1913
94	14/12/17 	11:47:45.525	11:47:45.869	0.1913
95	14/12/17 	11:47:46.426	11:47:46.859	0.1913
96	14/12/17 	11:47:47.283	11:47:47.521	0.1913
97	14/12/17 	11:47:48.025	11:47:48.528	0.1913
98	14/12/17 	11:47:48.846	11:47:49.279	0.1913
99	14/12/17 	11:47:49.614	11:47:49.870	0.1913
100	14/12/17 	11:47:50.153	11:47:50.506	0.1913
101	14/12/17 	11:47:50.771	11:47:51.337	0.1913
102	14/12/17 	11:47:51.663	11:47:51.928	0.1913
103	14/12/17 	11:47:52.379	11:47:52.723	0.1913
104	14/12/17 	11:47:53.050	11:47:53.306	0.1913
105	14/12/17 	11:47:53.606	11:47:53.986	0.1913
106	14/12/17 	11:47:54.666	11:47:54.984	0.1913
107	14/12/17 	11:47:55.258	11:47:55.912	0.1913
108	14/12/17 	11:47:56.512	11:47:56.936	0.1913
109	14/12/17 	11:47:57.236	11:47:57.581	0.1913
110	14/12/17 	11:48:03.688	11:48:04.006	0.1913
111	14/12/17 	11:48:17.100	11:48:17.376	0.1913
112	14/12/17 	11:48:53.752	11:48:54.477	0.1913
113	14/12/17 	11:49:00.051	11:49:00.174	0.1913
114	14/12/17 	11:49:03.699	11:49:03.781	0.1913
115	14/12/17 	11:49:08.155	11:49:08.251	0.1913
116	14/12/17 	11:49:16.978	11:49:17.276	0.1913
117	14/12/17 	11:49:17.569	11:49:17.841	0.1913
118	14/12/17 	11:49:18.094	11:49:18.261	0.1913
119	14/12/17 	11:49:32.389	11:49:32.617	0.1913
120	14/12/17 	11:49:35.676	11:49:35.882	0.1913
121	14/12/17 	11:49:43.722	11:49:44.021	0.1913
122	14/12/17 	11:51:02.865	11:51:03.636	0.1913
123	14/12/17 	11:52:46.327	11:52:46.381	0.1694
124	14/12/17 	11:53:01.948	11:53:02.002	0.1694
125	14/12/17 	11:53:04.505	11:53:04.573	0.1694
126	14/12/17 	11:53:10.860	11:53:10.895	0.1694
127	14/12/17 	11:53:13.713	11:53:13.749	0.1694
128	14/12/17 	11:53:17.124	11:53:17.162	0.1694
129	14/12/17 	11:53:21.609	11:53:21.678	0.1694
130	14/12/17 	11:53:30.185	11:53:30.333	0.1694
131	14/12/17 	11:53:43.096	11:53:43.280	0.1694
132	14/12/17 	11:53:54.413	11:53:54.544	0.1694
133	14/12/17 	11:54:07.229	11:54:07.342	0.1694
134	14/12/17 	11:54:17.340	11:54:17.467	0.1694
135	14/12/17 	11:54:28.868	11:54:28.980	0.1694
136	14/12/17 	11:54:38.842	11:54:38.957	0.1694
137	14/12/17 	11:54:59.632	11:54:59.749	0.1694
138	14/12/17 	11:55:09.107	11:55:09.250	0.1694
139	14/12/17 	11:55:18.369	11:55:18.632	0.1694
140	14/12/17 	11:55:27.184	11:55:27.278	0.1694
141	14/12/17 	11:55:33.913	11:55:34.022	0.1694
142	14/12/17 	11:55:40.788	11:55:40.903	0.1694
143	14/12/17 	11:55:45.849	11:55:45.916	0.1694
144	14/12/17 	11:55:50.815	11:55:50.937	0.1694
145	14/12/17 	11:55:57.141	11:55:57.230	0.1694
146	14/12/17 	11:56:03.328	11:56:03.425	0.1694
147	14/12/17 	11:56:08.570	11:56:08.686	0.1694
148	14/12/17 	11:56:16.435	11:56:16.527	0.1694
149	14/12/17 	11:56:22.658	11:56:22.751	0.1694
150	14/12/17 	11:56:29.003	11:56:29.101	0.1694
151	14/12/17 	11:56:33.321	11:56:33.405	0.1694
152	14/12/17 	11:56:38.417	11:56:38.504	0.1694
153	14/12/17 	11:56:43.569	11:56:43.666	0.1694
154	14/12/17 	11:56:48.363	11:56:48.468	0.1694
155	14/12/17 	11:56:56.023	11:56:56.110	0.1694
156	14/12/17 	11:57:06.791	11:57:06.888	0.1694
157	14/12/17 	11:57:12.688	11:57:12.785	0.1694
158	14/12/17 	11:57:21.878	11:57:22.002	0.1694
159	14/12/17 	11:57:28.126	11:57:28.191	0.1694
